600	0.03486
599	0.0349081
598	0.0350864
597	0.0352644
596	0.035399
595	0.0355794
594	0.035712
593	0.0359771
592	0.0361836
591	0.0362973
590	0.0364913
589	0.0367565
588	0.0369821
587	0.0372749
586	0.0375456
585	0.0377627
584	0.0381297
583	0.0383784
582	0.0387769
581	0.0389576
580	0.0393389
579	0.0397242
578	0.0400245
577	0.0404591
576	0.0408069
575	0.0411535
574	0.0416303
573	0.0419847
572	0.0424929
571	0.0429382
570	0.0433561
569	0.0438958
568	0.0444527
567	0.0449718
566	0.0455254
565	0.046112
564	0.0466056
563	0.0472289
562	0.0478856
561	0.0484547
560	0.0492032
559	0.0497814
558	0.0504539
557	0.0511919
556	0.0518675
555	0.052701
554	0.0534058
553	0.0541757
552	0.0549469
551	0.0556826
550	0.0565126
549	0.0572699
548	0.0581898
547	0.0590228
546	0.0598997
545	0.0606958
544	0.0617017
543	0.0626554
542	0.0635094
541	0.0644424
540	0.0653349
539	0.0663152
538	0.0672177
537	0.0682457
536	0.0691708
535	0.0701908
534	0.0711478
533	0.0720724
532	0.0730074
531	0.0740039
530	0.0750605
529	0.076006
528	0.0770047
527	0.0779907
526	0.0790047
525	0.0801042
524	0.0809911
523	0.0819982
522	0.0829402
521	0.0839874
520	0.084984
519	0.0858283
518	0.0868554
517	0.0877219
516	0.0887642
515	0.0896808
514	0.0905621
513	0.0914549
512	0.0923963
511	0.0932487
510	0.0941564
509	0.0949895
508	0.0957985
507	0.0966981
506	0.0975161
505	0.0982324
504	0.0990392
503	0.0998014
502	0.100531
501	0.101204
500	0.101906
499	0.102547
498	0.103208
497	0.103718
496	0.104297
495	0.105011
494	0.105419
493	0.10603
492	0.106439
491	0.106884
490	0.107438
489	0.10779
488	0.108235
487	0.108698
486	0.108982
485	0.1093
484	0.109582
483	0.109908
482	0.110153
481	0.110341
480	0.110573
479	0.110656
478	0.110847
477	0.110956
476	0.11105
475	0.111129
474	0.111114
473	0.111073
472	0.11103
471	0.111074
470	0.111014
469	0.110853
468	0.11074
467	0.110547
466	0.110398
465	0.110126
464	0.109852
463	0.109541
462	0.109368
461	0.108999
460	0.108654
459	0.108254
458	0.107893
457	0.107427
456	0.107038
455	0.106621
454	0.106125
453	0.105613
452	0.105213
451	0.104623
450	0.103957
449	0.103444
448	0.10289
447	0.102295
446	0.101761
445	0.101127
444	0.100638
443	0.0999649
442	0.0993673
441	0.0987107
440	0.0981249
439	0.0974369
438	0.0966806
437	0.0960817
436	0.0954325
435	0.0947387
434	0.0941327
433	0.0934126
432	0.0927654
431	0.0920586
430	0.0913979
429	0.0907508
428	0.0900174
427	0.0893361
426	0.0887463
425	0.0880299
424	0.0873018
423	0.0866349
422	0.0859209
421	0.0853485
420	0.0846985
419	0.0840085
418	0.0834408
417	0.0826774
416	0.0820944
415	0.0814691
414	0.0808175
413	0.0802764
412	0.0796334
411	0.0791795
410	0.0785365
409	0.0780229
408	0.0773755
407	0.0769233
406	0.07621
405	0.0757295
404	0.0752414
403	0.0747295
402	0.0742872
401	0.0737741
400	0.0732924
399	0.0728347
398	0.072248
397	0.0715839
396	0.071425
395	0.0710833
394	0.0708233
393	0.0703479
392	0.0701232
391	0.0696895
390	0.0694091
389	0.0690825
388	0.0685982
387	0.0684765
386	0.0681736
385	0.0679487
384	0.0676332
383	0.0673824
382	0.0671208
381	0.0668975
380	0.0666476
379	0.0665305
378	0.0661656
377	0.0660298
376	0.0659534
375	0.0657317
374	0.0656211
373	0.0653758
372	0.0653054
371	0.0652938
370	0.0652206
369	0.0651542
368	0.0649387
367	0.0648596
366	0.0646118
365	0.0643922
364	0.0643737
363	0.0642727
362	0.0643919
361	0.0643056
360	0.0643744
359	0.0640911
358	0.0641825
357	0.0642344
356	0.0641517
355	0.0642971
354	0.0641215
353	0.0639545
352	0.0641833
351	0.0641429
350	0.0641909
349	0.0642976
348	0.0643479
347	0.0643069
346	0.0643932
345	0.0644314
344	0.0644279
343	0.0646923
342	0.0646341
341	0.0646962
340	0.0654948
339	0.0655232
338	0.0656365
337	0.0659787
336	0.0660234
335	0.0661477
334	0.0663009
333	0.06652
332	0.0664832
331	0.066921
330	0.0670745
329	0.0672011
328	0.0675476
327	0.0677984
326	0.0682068
325	0.0683247
324	0.0687199
323	0.0689543
322	0.0693851
321	0.0696504
320	0.070021
319	0.0702097
318	0.0708278
317	0.071246
316	0.0718216
315	0.0721298
314	0.072611
313	0.0731824
312	0.0736717
311	0.0742803
310	0.0747912
309	0.0753859
308	0.0760728
307	0.0768432
306	0.0774569
305	0.0781143
304	0.0789842
303	0.0796762
302	0.0803665
301	0.0814114
300	0.0820674
299	0.083039
298	0.0840519
297	0.0848062
296	0.0858528
295	0.0868101
294	0.0879154
293	0.0889794
292	0.0899282
291	0.0912297
290	0.0923159
289	0.0934634
288	0.0946465
287	0.0958977
286	0.09703
285	0.0983802
284	0.099731
283	0.100952
282	0.102386
281	0.103746
280	0.105049
279	0.10654
278	0.107945
277	0.109418
276	0.110852
275	0.112079
274	0.113232
273	0.114204
272	0.115216
271	0.116434
270	0.11769
269	0.118908
268	0.120201
267	0.12111
266	0.122159
265	0.123236
264	0.124277
263	0.125278
262	0.126619
261	0.127684
260	0.128794
259	0.130077
258	0.131326
257	0.132645
256	0.133956
255	0.135414
254	0.136924
253	0.138506
252	0.140007
251	0.141669
250	0.143393
249	0.145268
248	0.147228
247	0.149114
246	0.151226
245	0.153464
244	0.155855
243	0.158322
242	0.16105
241	0.163956
240	0.166925
239	0.169996
238	0.173363
237	0.176991
236	0.180751
