2720.17	681
2720.38	849
2720.60	781
2720.81	946
2721.02	1116
2721.23	725
2721.44	650
2721.65	685
2721.87	670
2722.08	663
2722.29	804
2722.50	906
2722.71	1017
2722.92	748
2723.13	934
2723.35	791
2723.56	1050
2723.77	723
2723.98	764
2724.19	799
2724.40	839
2724.62	842
2724.83	897
2725.04	902
2725.25	702
2725.46	582
2725.68	706
2725.89	976
2726.10	1164
2726.31	810
2726.52	921
2726.73	827
2726.95	792
2727.16	909
2727.37	1010
2727.58	846
2727.79	811
2728.00	883
2728.22	729
2728.43	759
2728.64	704
2728.85	686
2729.06	870
2729.28	831
2729.49	780
2729.70	962
2729.91	919
2730.12	746
2730.34	794
2730.55	693
2730.76	882
2730.97	927
2731.18	728
2731.40	725
2731.61	761
2731.82	762
2732.03	802
2732.24	859
2732.45	627
2732.67	684
2732.88	686
2733.09	778
2733.30	827
2733.52	765
2733.73	944
2733.94	721
2734.15	841
2734.36	801
2734.58	839
2734.79	932
2735.00	1015
2735.21	1028
2735.42	1253
2735.64	1113
2735.85	1324
2736.06	1292
2736.27	1320
2736.48	1576
2736.70	1998
2736.91	1412
2737.12	1584
2737.33	1839
2737.55	1718
2737.76	1776
2737.97	1899
2738.18	1662
2738.39	1420
2738.61	1683
2738.82	1669
2739.03	1591
2739.24	1934
2739.46	1659
2739.67	1484
2739.88	1525
2740.09	1316
2740.30	1420
2740.52	1360
2740.73	1299
2740.94	1404
2741.15	1144
2741.37	1353
2741.58	1275
2741.79	1260
2742.00	1173
2742.22	1201
2742.43	1198
2742.64	1203
2742.85	955
2743.07	1416
2743.28	1454
2743.49	1446
2743.70	1958
2743.91	1978
2744.13	1655
2744.34	1980
2744.55	1759
2744.76	1754
2744.98	2218
2745.19	2177
2745.40	2317
2745.61	2430
2745.83	2617
2746.04	2796
2746.25	2597
2746.46	2403
2746.68	3035
2746.89	2792
2747.10	2568
2747.32	3278
2747.53	3710
2747.74	3243
2747.95	3291
2748.17	3151
2748.38	3187
2748.59	2984
2748.80	2579
2749.02	2712
2749.23	2517
2749.44	2286
2749.65	2533
2749.87	2627
2750.08	2534
2750.29	2553
2750.50	2208
2750.72	1953
2750.93	2005
2751.14	2019
2751.36	1846
2751.57	1903
2751.78	1672
2751.99	1559
2752.21	1495
2752.42	1790
2752.63	1544
2752.84	1446
2753.06	1174
2753.27	1358
2753.48	1028
2753.70	1036
2753.91	1205
2754.12	1082
2754.33	1022
2754.55	1349
2754.76	1179
2754.97	1268
2755.19	1060
2755.40	818
2755.61	738
2755.82	790
2756.04	908
2756.25	855
2756.46	1076
2756.68	827
2756.89	735
2757.10	840
2757.32	891
2757.53	1123
2757.74	770
2757.95	1012
2758.17	754
2758.38	907
2758.59	633
2758.81	842
2759.02	806
2759.23	713
2759.45	710
2759.66	782
2759.87	944
2760.08	818
2760.30	793
2760.51	846
2760.72	1154
2760.94	1059
2761.15	813
2761.36	1059
2761.58	803
2761.79	1138
2762.00	1275
2762.22	1394
2762.43	1323
2762.64	1336
2762.85	1194
2763.07	1399
2763.28	1366
2763.49	1132
2763.71	1617
2763.92	1476
2764.13	1427
2764.35	1234
2764.56	1340
2764.77	1750
2764.99	1590
2765.20	1509
2765.41	1546
2765.63	1569
2765.84	1544
2766.05	1745
2766.27	1695
2766.48	1512
2766.69	1251
2766.91	1437
2767.12	1471
2767.33	1651
2767.55	1772
2767.76	1383
2767.97	1276
2768.19	1543
2768.40	1439
2768.61	1338
2768.83	1205
2769.04	1177
2769.25	1182
2769.47	1353
2769.68	1111
2769.89	1032
2770.11	1119
2770.32	912
2770.53	1011
2770.75	1211
2770.96	936
2771.17	867
2771.39	1065
2771.60	1129
2771.82	1149
2772.03	1044
2772.24	808
2772.46	1017
2772.67	1005
2772.88	860
2773.10	759
2773.31	1122
2773.52	944
2773.74	1153
2773.95	742
2774.16	725
2774.38	953
